id,name,url,parent_id
140," Bảng Vẽ Đồ Họa Cảm Ứng (46)
",https://tiki.vn/bang-ve-do-hoa-cam-ung/c12876?src=c.1815.hamburger_menu_fly_out_banner,118.0
141," Thiết Bị Cân Bằng Màu (3)
",https://tiki.vn/thiet-bi-can-bang-mau/c28712?src=c.1815.hamburger_menu_fly_out_banner,118.0
142," Thiết Bị Đồ Họa và Công Cụ Khác (13)
",https://tiki.vn/thiet-bi-do-hoa-va-cong-cu-khac/c28714?src=c.1815.hamburger_menu_fly_out_banner,118.0
143," Dụng Cụ Sửa Chữa (2)
",https://tiki.vn/dung-cu-sua-chua/c28676?src=c.1815.hamburger_menu_fly_out_banner,119.0
144," Dụng Cụ Vệ Sinh (59)
",https://tiki.vn/dung-cu-ve-sinh/c28674?src=c.1815.hamburger_menu_fly_out_banner,119.0
145," Case - Vỏ Ốp Lưng Laptop (101)
",https://tiki.vn/case-vo-op-lung-laptop/c28684?src=c.1815.hamburger_menu_fly_out_banner,120.0
146," Dây Chống Trộm Laptop (9)
",https://tiki.vn/day-chong-trom-laptop/c28678?src=c.1815.hamburger_menu_fly_out_banner,120.0
147," Giá Đỡ Laptop (99)
",https://tiki.vn/gia-do-laptop/c28682?src=c.1815.hamburger_menu_fly_out_banner,120.0
148," Miếng Phủ Bàn Phím Laptop (58)
",https://tiki.vn/mieng-phu-ban-phim-laptop/c28686?src=c.1815.hamburger_menu_fly_out_banner,120.0
149," Skin và Decal Dán Laptop (6333)
",https://tiki.vn/skin-va-decal-dan-laptop/c28680?src=c.1815.hamburger_menu_fly_out_banner,120.0
150," Đế Tản Nhiệt Laptop (100)
",https://tiki.vn/de-tan-nhiet-laptop/c1832?src=c.1815.hamburger_menu_fly_out_banner,120.0
151," Bàn Phím Chơi Game (463)
",https://tiki.vn/ban-phim-choi-game/c5267?src=c.1815.hamburger_menu_fly_out_banner,121.0
152," Bộ Phím Chuột Chơi Game (95)
",https://tiki.vn/bo-phim-chuot-choi-game/c28696?src=c.1815.hamburger_menu_fly_out_banner,121.0
153," Chuột Chơi Game (544)
",https://tiki.vn/chuot-choi-game/c3428?src=c.1815.hamburger_menu_fly_out_banner,121.0
154," Phụ Kiện Phím Chuột Chơi Game Khác (10)
",https://tiki.vn/phu-kien-phim-chuot-choi-game-khac/c28698?src=c.1815.hamburger_menu_fly_out_banner,121.0
156," Bộ Phím Chuột Văn Phòng (194)
",https://tiki.vn/bo-phim-chuot-van-phong/c1836?src=c.1815.hamburger_menu_fly_out_banner,122.0
158," Phụ Kiện Phím Chuột Văn Phòng Khác (19)
",https://tiki.vn/phu-kien-phim-chuot-van-phong-khac/c28694?src=c.1815.hamburger_menu_fly_out_banner,122.0
159," Bàn Phím Văn Phòng Có Dây (208)
",https://tiki.vn/ban-phim-van-phong-co-day/c5263?src=c.1815.hamburger_menu_fly_out_banner,155.0
160," Bàn Phím Văn Phòng Không Dây (84)
",https://tiki.vn/ban-phim-van-phong-khong-day/c5264?src=c.1815.hamburger_menu_fly_out_banner,155.0
161," Chuột Văn Phòng Có Dây (221)
",https://tiki.vn/chuot-van-phong-co-day/c1837?src=c.1815.hamburger_menu_fly_out_banner,157.0
162," Chuột Văn Phòng Không Dây (482)
",https://tiki.vn/chuot-van-phong-khong-day/c1838?src=c.1815.hamburger_menu_fly_out_banner,157.0
163," Tai Nghe Chơi Game (305)
",https://tiki.vn/tai-nghe-choi-game/c2971?src=c.1815.hamburger_menu_fly_out_banner,123.0
164," Tai Nghe Văn Phòng - Headset (4)
",https://tiki.vn/tai-nghe-van-phong-headset/c28704?src=c.1815.hamburger_menu_fly_out_banner,123.0
165," Ghế Gaming (99)
",https://tiki.vn/ghe-gaming/c7273?src=c.1815.hamburger_menu_fly_out_banner,46.0
167," Phụ Kiện Gaming (357)
",https://tiki.vn/phu-kien-gaming/c6742?src=c.1815.hamburger_menu_fly_out_banner,46.0
168," Tay Bấm Game - Thiết Bị Điều Khiển (295)
",https://tiki.vn/tay-bam-game-thiet-bi-dieu-khien/c9013?src=c.1815.hamburger_menu_fly_out_banner,46.0
169," Đĩa Game (201)
",https://tiki.vn/dia-game/c12676?src=c.1815.hamburger_menu_fly_out_banner,46.0
170," Máy Chơi Game Khác (75)
",https://tiki.vn/may-choi-game-khac/c28398?src=c.1815.hamburger_menu_fly_out_banner,166.0
171," Nintendo (12)
",https://tiki.vn/nintendo/c28396?src=c.1815.hamburger_menu_fly_out_banner,166.0
172," PlayStation (62)
",https://tiki.vn/playstation/c28392?src=c.1815.hamburger_menu_fly_out_banner,166.0
175," Các Module Tích Hợp (481)
",https://tiki.vn/cac-module-tich-hop/c20250?src=c.1815.hamburger_menu_fly_out_banner,173.0
176," Cảm Biến (124)
",https://tiki.vn/cam-bien/c20252?src=c.1815.hamburger_menu_fly_out_banner,173.0
177," Dây, Cáp Nối và Adapter Nguồn (43)
",https://tiki.vn/day-cap-noi-va-adapter-nguon/c28434?src=c.1815.hamburger_menu_fly_out_banner,173.0
178," Linh Kiện và Các Phần Cứng Khác (438)
",https://tiki.vn/linh-kien-va-cac-phan-cung-khac/c20254?src=c.1815.hamburger_menu_fly_out_banner,173.0
179," Máy Tính Nhúng - Kit Phát Triển (29)
",https://tiki.vn/may-tinh-nhung-kit-phat-trien/c20248?src=c.1815.hamburger_menu_fly_out_banner,173.0
180," Phụ Kiện và Dụng Cụ Khác (110)
",https://tiki.vn/phu-kien-va-dung-cu-khac/c20258?src=c.1815.hamburger_menu_fly_out_banner,173.0
181," Thiết Bị Robot (6)
",https://tiki.vn/thiet-bi-robot/c20256?src=c.1815.hamburger_menu_fly_out_banner,173.0
182," Kim Từ Điển và Các Loại Máy Thông Dịch (7)
",https://tiki.vn/kim-tu-dien-va-cac-loai-may-thong-dich/c28446?src=c.1815.hamburger_menu_fly_out_banner,174.0
183," Máy Bộ Đàm (151)
",https://tiki.vn/may-bo-dam/c8044?src=c.1815.hamburger_menu_fly_out_banner,174.0
184," Thiết Bị Nhà Thông Minh (147)
",https://tiki.vn/thiet-bi-nha-thong-minh/c12864?src=c.1815.hamburger_menu_fly_out_banner,174.0
185," Thiết Bị Định Vị GPS (35)
",https://tiki.vn/thiet-bi-dinh-vi-gps/c28444?src=c.1815.hamburger_menu_fly_out_banner,174.0
186," Đồ Chơi Công Nghệ - Thiết Bị Số và Phụ Kiện Số Khác (70)
",https://tiki.vn/do-choi-cong-nghe-thiet-bi-so-va-phu-kien-so-khac/c10413?src=c.1815.hamburger_menu_fly_out_banner,174.0
187," DAC và Amplifier Di Động (80)
",https://tiki.vn/dac-va-amplifier-di-dong/c20170?src=c.1815.hamburger_menu_fly_out_banner,48.0
191," Phụ Kiện Âm Thanh (1015)
",https://tiki.vn/phu-kien-am-thanh/c30374?src=c.1815.hamburger_menu_fly_out_banner,48.0
194," Loa Bluetooth (1907)
",https://tiki.vn/loa-bluetooth/c2324?src=c.1815.hamburger_menu_fly_out_banner,188.0
195," Loa Bluetooth Vi Tính (94)
",https://tiki.vn/loa-bluetooth-vi-tinh/c12882?src=c.1815.hamburger_menu_fly_out_banner,188.0
196," Loa Hi-Fi - Audiophiles (39)
",https://tiki.vn/loa-hi-fi-audiophiles/c6653?src=c.1815.hamburger_menu_fly_out_banner,188.0
197," Loa Kéo (289)
",https://tiki.vn/loa-keo/c8066?src=c.1815.hamburger_menu_fly_out_banner,188.0
198," Loa Trợ Giảng (146)
",https://tiki.vn/loa-tro-giang/c20190?src=c.1815.hamburger_menu_fly_out_banner,188.0
199," Loa Vi Tính (643)
",https://tiki.vn/loa-vi-tinh/c1813?src=c.1815.hamburger_menu_fly_out_banner,188.0
200," Micro Karaoke Bluetooth (162)
",https://tiki.vn/micro-karaoke-bluetooth/c7081?src=c.1815.hamburger_menu_fly_out_banner,189.0
201," Microphone Di Động (128)
",https://tiki.vn/microphone-di-dong/c28644?src=c.1815.hamburger_menu_fly_out_banner,189.0
202," Microphone Vi Tính (54)
",https://tiki.vn/microphone-vi-tinh/c28646?src=c.1815.hamburger_menu_fly_out_banner,189.0
